央视卫视,#genre#
赛事最经典,http://43.251.226.110:8880/play/112.m3u8
体坛名栏汇,http://43.251.226.110:8880/play/113.m3u8
大湾区卫视,http://43.251.226.110:8880/play/114.m3u8
四海钓鱼,http://43.251.226.110:8880/play/115.m3u8
陕西体育,http://43.251.226.110:8880/play/116.m3u8
辽宁体育,http://43.251.226.110:8880/play/117.m3u8
东方卫视,http://43.251.226.110:8880/play/118.m3u8
江苏卫视,http://43.251.226.110:8880/play/119.m3u8
广东卫视,http://43.251.226.110:8880/play/120.m3u8
北京卫视,http://43.251.226.110:8880/play/121.m3u8
辽宁卫视,http://43.251.226.110:8880/play/122.m3u8
河北卫视,http://43.251.226.110:8880/play/123.m3u8
江西卫视,http://43.251.226.110:8880/play/124.m3u8
陕西卫视,http://43.251.226.110:8880/play/125.m3u8
湖北卫视,http://43.251.226.110:8880/play/126.m3u8
农林卫视,http://43.251.226.110:8880/play/127.m3u8
兵团卫视,http://43.251.226.110:8880/play/128.m3u8
上海新闻综合,http://43.251.226.110:8880/play/129.m3u8
上视东方影视,http://43.251.226.110:8880/play/130.m3u8
公共新闻频道,http://43.251.226.110:8880/play/131.m3u8
盐城新闻综合,http://43.251.226.110:8880/play/132.m3u8
江阴新闻综合,http://43.251.226.110:8880/play/133.m3u8
南通新闻综合,http://43.251.226.110:8880/play/134.m3u8
宜兴新闻综合,http://43.251.226.110:8880/play/135.m3u8
溧水新闻综合,http://43.251.226.110:8880/play/136.m3u8
陕西银龄频道,http://43.251.226.110:8880/play/137.m3u8
陕西都市青春频道,http://43.251.226.110:8880/play/138.m3u8
陕西秦腔频道,http://43.251.226.110:8880/play/139.m3u8
陕西新闻资讯频道,http://43.251.226.110:8880/play/140.m3u8
财富天下,http://43.251.226.110:8880/play/141.m3u8
辽宁公共频道,http://43.251.226.110:8880/play/142.m3u8
辽宁生活频道,http://43.251.226.110:8880/play/143.m3u8
辽宁影视剧频道,http://43.251.226.110:8880/play/144.m3u8
宁夏文旅频道,http://43.251.226.110:8880/play/145.m3u8
宁夏经济频道,http://43.251.226.110:8880/play/146.m3u8
经典香港电影,http://43.251.226.110:8880/play/147.m3u8
抗战经典影片,http://43.251.226.110:8880/play/148.m3u8
新片放映厅,http://43.251.226.110:8880/play/149.m3u8
CHC影迷电影,http://43.251.226.110:8880/play/150.m3u8
CHC动作电影,http://43.251.226.110:8880/play/151.m3u8
CHC家庭影院,http://43.251.226.110:8880/play/152.m3u8
和美乡途轮播台,http://43.251.226.110:8880/play/153.m3u8
最强综艺趴,http://43.251.226.110:8880/play/154.m3u8
全网通频,#genre#
CCTV1,http://43.251.226.110:8880/play/1626.m3u8
CCTV2,http://43.251.226.110:8880/play/1627.m3u8
CCTV3,http://43.251.226.110:8880/play/1628.m3u8
CCTV4,http://43.251.226.110:8880/play/1629.m3u8
CCTV5,http://43.251.226.110:8880/play/1630.m3u8
CCTV5+,http://43.251.226.110:8880/play/1631.m3u8
CCTV6,http://43.251.226.110:8880/play/1632.m3u8
CCTV7,http://43.251.226.110:8880/play/1633.m3u8
CCTV8,http://43.251.226.110:8880/play/1634.m3u8
CCTV9,http://43.251.226.110:8880/play/1635.m3u8
CCTV10,http://43.251.226.110:8880/play/1636.m3u8
CCTV11,http://43.251.226.110:8880/play/1637.m3u8
CCTV12,http://43.251.226.110:8880/play/1638.m3u8
CCTV13,http://43.251.226.110:8880/play/1639.m3u8
CCTV14,http://43.251.226.110:8880/play/1640.m3u8
CCTV15,http://43.251.226.110:8880/play/1641.m3u8
CCTV16,http://43.251.226.110:8880/play/1642.m3u8
CCTV17,http://43.251.226.110:8880/play/1643.m3u8
北京卫视,http://43.251.226.110:8880/play/1644.m3u8
东方卫视,http://43.251.226.110:8880/play/1645.m3u8
浙江卫视,http://43.251.226.110:8880/play/1646.m3u8
江苏卫视,http://43.251.226.110:8880/play/1647.m3u8
湖南卫视,http://43.251.226.110:8880/play/1648.m3u8
广东卫视,http://43.251.226.110:8880/play/1649.m3u8
深圳卫视,http://43.251.226.110:8880/play/1650.m3u8
天津卫视,http://43.251.226.110:8880/play/1651.m3u8
安徽卫视,http://43.251.226.110:8880/play/1652.m3u8
山东卫视,http://43.251.226.110:8880/play/1653.m3u8
辽宁卫视,http://43.251.226.110:8880/play/1654.m3u8
河北卫视,http://43.251.226.110:8880/play/1655.m3u8
河南卫视,http://43.251.226.110:8880/play/1656.m3u8
江西卫视,http://43.251.226.110:8880/play/1657.m3u8
四川卫视,http://43.251.226.110:8880/play/1658.m3u8
重庆卫视,http://43.251.226.110:8880/play/1659.m3u8
贵州卫视,http://43.251.226.110:8880/play/1660.m3u8
湖北卫视,http://43.251.226.110:8880/play/1661.m3u8
广西卫视,http://43.251.226.110:8880/play/1662.m3u8
东南卫视,http://43.251.226.110:8880/play/1663.m3u8
海南卫视,http://43.251.226.110:8880/play/1664.m3u8
青海卫视,http://43.251.226.110:8880/play/1665.m3u8
吉林卫视,http://43.251.226.110:8880/play/1666.m3u8
黑龙江视,http://43.251.226.110:8880/play/1667.m3u8
咪咕js频,#genre#
CCTV1,http://43.251.226.110:8880/play/1668.m3u8
CCTV2,http://43.251.226.110:8880/play/1669.m3u8
CCTV3,http://43.251.226.110:8880/play/1670.m3u8
CCTV4,http://43.251.226.110:8880/play/1671.m3u8
CCTV5,http://43.251.226.110:8880/play/1672.m3u8
CCTV5+,http://43.251.226.110:8880/play/1673.m3u8
CCTV6,http://43.251.226.110:8880/play/1674.m3u8
CCTV7,http://43.251.226.110:8880/play/1675.m3u8
CCTV8,http://43.251.226.110:8880/play/1676.m3u8
CCTV9,http://43.251.226.110:8880/play/1677.m3u8
CCTV10,http://43.251.226.110:8880/play/1678.m3u8
CCTV11,http://43.251.226.110:8880/play/1679.m3u8
CCTV12,http://43.251.226.110:8880/play/1680.m3u8
CCTV13,http://43.251.226.110:8880/play/1681.m3u8
CCTV14,http://43.251.226.110:8880/play/1682.m3u8
CCTV15,http://43.251.226.110:8880/play/1683.m3u8
CCTV16,http://43.251.226.110:8880/play/1684.m3u8
CCTV17,http://43.251.226.110:8880/play/1685.m3u8
浙江卫视4K,http://43.251.226.110:8880/play/1686.m3u8
广东卫视,http://43.251.226.110:8880/play/1687.m3u8
江苏卫视4K,http://43.251.226.110:8880/play/1688.m3u8
东方卫视,http://43.251.226.110:8880/play/1689.m3u8
湖北卫视,http://43.251.226.110:8880/play/1690.m3u8
吉林卫视,http://43.251.226.110:8880/play/1691.m3u8
河南卫视,http://43.251.226.110:8880/play/1692.m3u8
东南卫视,http://43.251.226.110:8880/play/1693.m3u8
海南卫视,http://43.251.226.110:8880/play/1694.m3u8
湖南卫视4K,http://43.251.226.110:8880/play/1695.m3u8
北京卫视,http://43.251.226.110:8880/play/1696.m3u8
黑龙江卫视,http://43.251.226.110:8880/play/1697.m3u8
吉林卫视,http://43.251.226.110:8880/play/1698.m3u8
辽宁卫视,http://43.251.226.110:8880/play/1699.m3u8
内蒙古卫视,http://43.251.226.110:8880/play/1700.m3u8
甘肃卫视,http://43.251.226.110:8880/play/1701.m3u8
山西卫视,http://43.251.226.110:8880/play/1702.m3u8
山东卫视,http://43.251.226.110:8880/play/1703.m3u8
安徽卫视,http://43.251.226.110:8880/play/1704.m3u8
深圳卫视,http://43.251.226.110:8880/play/1705.m3u8
广西卫视,http://43.251.226.110:8880/play/1706.m3u8
云南卫视,http://43.251.226.110:8880/play/1707.m3u8
贵州卫视,http://43.251.226.110:8880/play/1708.m3u8
四川卫视,http://43.251.226.110:8880/play/1709.m3u8
北京移动,#genre#
CCTV1,http://43.251.226.110:8880/play/1710.m3u8
CCTV1,http://43.251.226.110:8880/play/1711.m3u8
CCTV2,http://43.251.226.110:8880/play/1712.m3u8
CCTV2,http://43.251.226.110:8880/play/1713.m3u8
CCTV3,http://43.251.226.110:8880/play/1714.m3u8
CCTV4,http://43.251.226.110:8880/play/1715.m3u8
CCTV5,http://43.251.226.110:8880/play/1716.m3u8
CCTV5+,http://43.251.226.110:8880/play/1717.m3u8
CCTV5+,http://43.251.226.110:8880/play/1718.m3u8
CCTV6,http://43.251.226.110:8880/play/1719.m3u8
CCTV7,http://43.251.226.110:8880/play/1720.m3u8
CCTV8,http://43.251.226.110:8880/play/1721.m3u8
CCTV9,http://43.251.226.110:8880/play/1722.m3u8
CCTV10,http://43.251.226.110:8880/play/1723.m3u8
CCTV11,http://43.251.226.110:8880/play/1724.m3u8
CCTV11,http://43.251.226.110:8880/play/1725.m3u8
CCTV12,http://43.251.226.110:8880/play/1726.m3u8
CCTV12,http://43.251.226.110:8880/play/1727.m3u8
CCTV13,http://43.251.226.110:8880/play/1728.m3u8
CCTV14,http://43.251.226.110:8880/play/1729.m3u8
CCTV14,http://43.251.226.110:8880/play/1730.m3u8
CCTV15,http://43.251.226.110:8880/play/1731.m3u8
CCTV15,http://43.251.226.110:8880/play/1732.m3u8
CCTV17,http://43.251.226.110:8880/play/1733.m3u8
东南卫视,http://43.251.226.110:8880/play/1734.m3u8
东南卫视,http://43.251.226.110:8880/play/1735.m3u8
东方卫视,http://43.251.226.110:8880/play/1736.m3u8
东方卫视,http://43.251.226.110:8880/play/1737.m3u8
东方卫视,http://43.251.226.110:8880/play/1738.m3u8
北京卫视,http://43.251.226.110:8880/play/1739.m3u8
北京卫视,http://43.251.226.110:8880/play/1740.m3u8
北京卫视,http://43.251.226.110:8880/play/1741.m3u8
天津卫视,http://43.251.226.110:8880/play/1742.m3u8
天津卫视,http://43.251.226.110:8880/play/1743.m3u8
安徽卫视,http://43.251.226.110:8880/play/1744.m3u8
安徽卫视,http://43.251.226.110:8880/play/1745.m3u8
山东卫视,http://43.251.226.110:8880/play/1746.m3u8
山东卫视,http://43.251.226.110:8880/play/1747.m3u8
广东卫视,http://43.251.226.110:8880/play/1748.m3u8
广东卫视,http://43.251.226.110:8880/play/1749.m3u8
江苏卫视,http://43.251.226.110:8880/play/1750.m3u8
江苏卫视,http://43.251.226.110:8880/play/1751.m3u8
江苏卫视,http://43.251.226.110:8880/play/1752.m3u8
江西卫视,http://43.251.226.110:8880/play/1753.m3u8
河北卫视,http://43.251.226.110:8880/play/1754.m3u8
浙江卫视,http://43.251.226.110:8880/play/1755.m3u8
浙江卫视,http://43.251.226.110:8880/play/1756.m3u8
浙江卫视,http://43.251.226.110:8880/play/1757.m3u8
深圳卫视,http://43.251.226.110:8880/play/1758.m3u8
深圳卫视,http://43.251.226.110:8880/play/1759.m3u8
湖北卫视,http://43.251.226.110:8880/play/1760.m3u8
湖北卫视,http://43.251.226.110:8880/play/1761.m3u8
湖南卫视,http://43.251.226.110:8880/play/1762.m3u8
贵州卫视,http://43.251.226.110:8880/play/1763.m3u8
辽宁卫视,http://43.251.226.110:8880/play/1764.m3u8
黑龙江卫视,http://43.251.226.110:8880/play/1765.m3u8
黑龙江卫视,http://43.251.226.110:8880/play/1766.m3u8
北京冬奥纪实,http://43.251.226.110:8880/play/1767.m3u8
北京卡酷少儿,http://43.251.226.110:8880/play/1768.m3u8
北京影视,http://43.251.226.110:8880/play/1769.m3u8
北京文艺,http://43.251.226.110:8880/play/1770.m3u8
北京新闻,http://43.251.226.110:8880/play/1771.m3u8
北京生活,http://43.251.226.110:8880/play/1772.m3u8
北京科教,http://43.251.226.110:8880/play/1773.m3u8
北京财经,http://43.251.226.110:8880/play/1774.m3u8
北京青年,http://43.251.226.110:8880/play/1775.m3u8
湖南快乐垂钓,http://43.251.226.110:8880/play/1776.m3u8
湖南茶频道,http://43.251.226.110:8880/play/1777.m3u8
黑莓动画,http://43.251.226.110:8880/play/1778.m3u8
黑莓电影,http://43.251.226.110:8880/play/1779.m3u8
黑莓电竞,http://43.251.226.110:8880/play/1780.m3u8
黑莓电竞,http://43.251.226.110:8880/play/1781.m3u8
黑莓电竞,http://43.251.226.110:8880/play/1782.m3u8
NewTV中国功夫,http://43.251.226.110:8880/play/1783.m3u8
NewTV怡伴健康,http://43.251.226.110:8880/play/1784.m3u8
NewTV军事评论,http://43.251.226.110:8880/play/1785.m3u8
NewTV军旅剧场,http://43.251.226.110:8880/play/1786.m3u8
NewTV农业致富,http://43.251.226.110:8880/play/1787.m3u8
NewTV动作电影,http://43.251.226.110:8880/play/1788.m3u8
NewTV古装剧场,http://43.251.226.110:8880/play/1789.m3u8
NewTV家庭剧场,http://43.251.226.110:8880/play/1790.m3u8
NewTV惊悚悬疑,http://43.251.226.110:8880/play/1791.m3u8
NewTV惊悚悬疑,http://43.251.226.110:8880/play/1792.m3u8
NewTV明星大片,http://43.251.226.110:8880/play/1793.m3u8
NewTV明星大片,http://43.251.226.110:8880/play/1794.m3u8
NewTV武搏世界,http://43.251.226.110:8880/play/1795.m3u8
NewTV海外剧场,http://43.251.226.110:8880/play/1796.m3u8
NewTV潮妈辣婆,http://43.251.226.110:8880/play/1797.m3u8
NewTV炫舞未来,http://43.251.226.110:8880/play/1798.m3u8
NewTV爱情喜剧,http://43.251.226.110:8880/play/1799.m3u8
NewTV精品体育,http://43.251.226.110:8880/play/1800.m3u8
NewTV精品大剧,http://43.251.226.110:8880/play/1801.m3u8
NewTV精品纪录,http://43.251.226.110:8880/play/1802.m3u8
NewTV超级体育,http://43.251.226.110:8880/play/1803.m3u8
NewTV超级体育,http://43.251.226.110:8880/play/1804.m3u8
NewTV超级电影,http://43.251.226.110:8880/play/1805.m3u8
NewTV超级电影,http://43.251.226.110:8880/play/1806.m3u8
NewTV超级电视剧,http://43.251.226.110:8880/play/1807.m3u8
NewTV超级电视剧,http://43.251.226.110:8880/play/1808.m3u8
NewTV超级综艺,http://43.251.226.110:8880/play/1809.m3u8
NewTV超级综艺,http://43.251.226.110:8880/play/1810.m3u8
NewTV金牌综艺,http://43.251.226.110:8880/play/1811.m3u8
川蜀小果,#genre#
CCTV1,http://43.251.226.110:8880/play/1835.m3u8
CCTV2,http://43.251.226.110:8880/play/1836.m3u8
CCTV3,http://43.251.226.110:8880/play/1837.m3u8
CCTV4,http://43.251.226.110:8880/play/1838.m3u8
CCTV5,http://43.251.226.110:8880/play/1839.m3u8
CCTV5+,http://43.251.226.110:8880/play/1840.m3u8
CCTV6,http://43.251.226.110:8880/play/1841.m3u8
CCTV7,http://43.251.226.110:8880/play/1842.m3u8
CCTV8,http://43.251.226.110:8880/play/1843.m3u8
CCTV9,http://43.251.226.110:8880/play/1844.m3u8
CCTV10,http://43.251.226.110:8880/play/1845.m3u8
CCTV11,http://43.251.226.110:8880/play/1846.m3u8
CCTV12,http://43.251.226.110:8880/play/1847.m3u8
CCTV13,http://43.251.226.110:8880/play/1848.m3u8
CCTV14,http://43.251.226.110:8880/play/1849.m3u8
CCTV15,http://43.251.226.110:8880/play/1850.m3u8
CCTV16,http://43.251.226.110:8880/play/1851.m3u8
CCTV17,http://43.251.226.110:8880/play/1852.m3u8
CGTN,http://43.251.226.110:8880/play/1853.m3u8
CGTN西语,http://43.251.226.110:8880/play/1854.m3u8
CGTN法语,http://43.251.226.110:8880/play/1855.m3u8
CGTN俄语,http://43.251.226.110:8880/play/1856.m3u8
凤凰中文,http://43.251.226.110:8880/play/1857.m3u8
凤凰资讯,http://43.251.226.110:8880/play/1858.m3u8
北京卫视,http://43.251.226.110:8880/play/1859.m3u8
东方卫视,http://43.251.226.110:8880/play/1860.m3u8
天津卫视,http://43.251.226.110:8880/play/1861.m3u8
重庆卫视,http://43.251.226.110:8880/play/1862.m3u8
